name_company,image_logo,description,website,industry,number_employees,head_office,since,id_company
PT Prima Industri,logo_pt_prima_industri.jpg,"PT Prima Industri is a leading company in the Education industry, providing high-quality products and services.",www.ptprimaindustri.com,Logistics,1729,Denpasar,1994,1
PT Sinar Sukses,logo_pt_sinar_sukses.jpg,"PT Sinar Sukses is a leading company in the Finance industry, providing high-quality products and services.",www.ptsinarsukses.com,Retail,1974,Klungkung,2009,2
PT Sinar Sukses,logo_pt_sinar_sukses.jpg,"PT Sinar Sukses is a leading company in the Construction industry, providing high-quality products and services.",www.ptsinarsukses.com,Healthcare,1710,Denpasar,2002,3
PT Sinar Sukses,logo_pt_sinar_sukses.jpg,"PT Sinar Sukses is a leading company in the Finance industry, providing high-quality products and services.",www.ptsinarsukses.com,Energy,1488,Buleleng,1994,4
PT Nusantara Teknologi,logo_pt_nusantara_teknologi.jpg,"PT Nusantara Teknologi is a leading company in the Finance industry, providing high-quality products and services.",www.ptnusantarateknologi.com,Food & Beverage,1167,Gianyar,1992,5
PT Indotech Global,logo_pt_indotech_global.jpg,"PT Indotech Global is a leading company in the Construction industry, providing high-quality products and services.",www.ptindotechglobal.com,Logistics,387,Buleleng,2013,6
PT Global Sumber Daya,logo_pt_global_sumber_daya.jpg,"PT Global Sumber Daya is a leading company in the Finance industry, providing high-quality products and services.",www.ptglobalsumberdaya.com,Finance,1623,Tabanan,2009,7
PT Nusantara Teknologi,logo_pt_nusantara_teknologi.jpg,"PT Nusantara Teknologi is a leading company in the Healthcare industry, providing high-quality products and services.",www.ptnusantarateknologi.com,Logistics,699,Denpasar,1997,8
PT Jaya Mulya,logo_pt_jaya_mulya.jpg,"PT Jaya Mulya is a leading company in the Food & Beverage industry, providing high-quality products and services.",www.ptjayamulya.com,Food & Beverage,1303,Buleleng,2015,9
PT Prima Industri,logo_pt_prima_industri.jpg,"PT Prima Industri is a leading company in the Energy industry, providing high-quality products and services.",www.ptprimaindustri.com,Education,296,Bangli,1993,10
PT Gemilang Bersama,logo_pt_gemilang_bersama.jpg,"PT Gemilang Bersama is a leading company in the Manufacturing industry, providing high-quality products and services.",www.ptgemilangbersama.com,Energy,1185,Buleleng,2016,11
PT Cipta Karya Abadi,logo_pt_cipta_karya_abadi.jpg,"PT Cipta Karya Abadi is a leading company in the Healthcare industry, providing high-quality products and services.",www.ptciptakaryaabadi.com,Education,1230,Jembrana,2012,12
PT Indotech Global,logo_pt_indotech_global.jpg,"PT Indotech Global is a leading company in the Technology industry, providing high-quality products and services.",www.ptindotechglobal.com,Retail,898,Jembrana,1992,13
PT Indotech Global,logo_pt_indotech_global.jpg,"PT Indotech Global is a leading company in the Manufacturing industry, providing high-quality products and services.",www.ptindotechglobal.com,Education,1137,Gianyar,1999,14
PT Prima Industri,logo_pt_prima_industri.jpg,"PT Prima Industri is a leading company in the Finance industry, providing high-quality products and services.",www.ptprimaindustri.com,Finance,91,Denpasar,2004,15
PT Cipta Karya Abadi,logo_pt_cipta_karya_abadi.jpg,"PT Cipta Karya Abadi is a leading company in the Education industry, providing high-quality products and services.",www.ptciptakaryaabadi.com,Healthcare,365,Gianyar,2001,16
PT Nusantara Teknologi,logo_pt_nusantara_teknologi.jpg,"PT Nusantara Teknologi is a leading company in the Retail industry, providing high-quality products and services.",www.ptnusantarateknologi.com,Healthcare,255,Denpasar,2008,17
PT Sinar Sukses,logo_pt_sinar_sukses.jpg,"PT Sinar Sukses is a leading company in the Retail industry, providing high-quality products and services.",www.ptsinarsukses.com,Construction,1600,Badung,2000,18
PT Harapan Sejahtera,logo_pt_harapan_sejahtera.jpg,"PT Harapan Sejahtera is a leading company in the Technology industry, providing high-quality products and services.",www.ptharapansejahtera.com,Food & Beverage,862,Badung,1998,19
PT Indotech Global,logo_pt_indotech_global.jpg,"PT Indotech Global is a leading company in the Technology industry, providing high-quality products and services.",www.ptindotechglobal.com,Manufacturing,250,Badung,2002,20
PT Sukses Makmur,logo_pt_sukses_makmur.jpg,"PT Sukses Makmur is a leading company in the Retail industry, providing high-quality products and services.",www.ptsuksesmakmur.com,Education,1033,Denpasar,2001,21
PT Indotech Global,logo_pt_indotech_global.jpg,"PT Indotech Global is a leading company in the Technology industry, providing high-quality products and services.",www.ptindotechglobal.com,Energy,1938,Denpasar,1999,22
PT Prima Industri,logo_pt_prima_industri.jpg,"PT Prima Industri is a leading company in the Finance industry, providing high-quality products and services.",www.ptprimaindustri.com,Retail,290,Buleleng,2011,23
PT Global Sumber Daya,logo_pt_global_sumber_daya.jpg,"PT Global Sumber Daya is a leading company in the Logistics industry, providing high-quality products and services.",www.ptglobalsumberdaya.com,Technology,1430,Buleleng,1990,24
PT Gemilang Bersama,logo_pt_gemilang_bersama.jpg,"PT Gemilang Bersama is a leading company in the Manufacturing industry, providing high-quality products and services.",www.ptgemilangbersama.com,Manufacturing,1221,Karangasem,2008,25
PT Indotech Global,logo_pt_indotech_global.jpg,"PT Indotech Global is a leading company in the Construction industry, providing high-quality products and services.",www.ptindotechglobal.com,Food & Beverage,210,Klungkung,2004,26
PT Harapan Sejahtera,logo_pt_harapan_sejahtera.jpg,"PT Harapan Sejahtera is a leading company in the Finance industry, providing high-quality products and services.",www.ptharapansejahtera.com,Retail,1146,Jembrana,2007,27
PT Global Sumber Daya,logo_pt_global_sumber_daya.jpg,"PT Global Sumber Daya is a leading company in the Logistics industry, providing high-quality products and services.",www.ptglobalsumberdaya.com,Education,1634,Buleleng,2016,28
PT Sukses Makmur,logo_pt_sukses_makmur.jpg,"PT Sukses Makmur is a leading company in the Technology industry, providing high-quality products and services.",www.ptsuksesmakmur.com,Energy,367,Tabanan,2007,29
PT Sukses Makmur,logo_pt_sukses_makmur.jpg,"PT Sukses Makmur is a leading company in the Finance industry, providing high-quality products and services.",www.ptsuksesmakmur.com,Logistics,1512,Bangli,2000,30
PT Gemilang Bersama,logo_pt_gemilang_bersama.jpg,"PT Gemilang Bersama is a leading company in the Manufacturing industry, providing high-quality products and services.",www.ptgemilangbersama.com,Construction,1102,Buleleng,2017,31
PT Global Sumber Daya,logo_pt_global_sumber_daya.jpg,"PT Global Sumber Daya is a leading company in the Energy industry, providing high-quality products and services.",www.ptglobalsumberdaya.com,Logistics,1787,Karangasem,2011,32
PT Sukses Makmur,logo_pt_sukses_makmur.jpg,"PT Sukses Makmur is a leading company in the Food & Beverage industry, providing high-quality products and services.",www.ptsuksesmakmur.com,Technology,1870,Denpasar,2000,33
PT Indotech Global,logo_pt_indotech_global.jpg,"PT Indotech Global is a leading company in the Healthcare industry, providing high-quality products and services.",www.ptindotechglobal.com,Manufacturing,1155,Buleleng,2007,34
PT Prima Industri,logo_pt_prima_industri.jpg,"PT Prima Industri is a leading company in the Healthcare industry, providing high-quality products and services.",www.ptprimaindustri.com,Finance,1921,Tabanan,2020,35
PT Sukses Makmur,logo_pt_sukses_makmur.jpg,"PT Sukses Makmur is a leading company in the Technology industry, providing high-quality products and services.",www.ptsuksesmakmur.com,Manufacturing,1439,Klungkung,2002,36
PT Gemilang Bersama,logo_pt_gemilang_bersama.jpg,"PT Gemilang Bersama is a leading company in the Food & Beverage industry, providing high-quality products and services.",www.ptgemilangbersama.com,Food & Beverage,1843,Buleleng,1997,37
PT Sinar Sukses,logo_pt_sinar_sukses.jpg,"PT Sinar Sukses is a leading company in the Energy industry, providing high-quality products and services.",www.ptsinarsukses.com,Construction,1320,Buleleng,1994,38
PT Jaya Mulya,logo_pt_jaya_mulya.jpg,"PT Jaya Mulya is a leading company in the Manufacturing industry, providing high-quality products and services.",www.ptjayamulya.com,Finance,326,Denpasar,2006,39
PT Prima Industri,logo_pt_prima_industri.jpg,"PT Prima Industri is a leading company in the Healthcare industry, providing high-quality products and services.",www.ptprimaindustri.com,Finance,734,Bangli,2017,40
PT Jaya Mulya,logo_pt_jaya_mulya.jpg,"PT Jaya Mulya is a leading company in the Retail industry, providing high-quality products and services.",www.ptjayamulya.com,Manufacturing,527,Karangasem,2016,41
PT Cipta Karya Abadi,logo_pt_cipta_karya_abadi.jpg,"PT Cipta Karya Abadi is a leading company in the Finance industry, providing high-quality products and services.",www.ptciptakaryaabadi.com,Finance,1754,Jembrana,2018,42
PT Jaya Mulya,logo_pt_jaya_mulya.jpg,"PT Jaya Mulya is a leading company in the Retail industry, providing high-quality products and services.",www.ptjayamulya.com,Healthcare,1263,Gianyar,2012,43
PT Jaya Mulya,logo_pt_jaya_mulya.jpg,"PT Jaya Mulya is a leading company in the Construction industry, providing high-quality products and services.",www.ptjayamulya.com,Technology,133,Buleleng,1994,44
PT Gemilang Bersama,logo_pt_gemilang_bersama.jpg,"PT Gemilang Bersama is a leading company in the Retail industry, providing high-quality products and services.",www.ptgemilangbersama.com,Education,412,Buleleng,2005,45
PT Indotech Global,logo_pt_indotech_global.jpg,"PT Indotech Global is a leading company in the Construction industry, providing high-quality products and services.",www.ptindotechglobal.com,Construction,1335,Gianyar,2017,46
PT Harapan Sejahtera,logo_pt_harapan_sejahtera.jpg,"PT Harapan Sejahtera is a leading company in the Energy industry, providing high-quality products and services.",www.ptharapansejahtera.com,Healthcare,1195,Karangasem,2018,47
PT Global Sumber Daya,logo_pt_global_sumber_daya.jpg,"PT Global Sumber Daya is a leading company in the Technology industry, providing high-quality products and services.",www.ptglobalsumberdaya.com,Energy,1998,Tabanan,2013,48
PT Nusantara Teknologi,logo_pt_nusantara_teknologi.jpg,"PT Nusantara Teknologi is a leading company in the Construction industry, providing high-quality products and services.",www.ptnusantarateknologi.com,Technology,263,Karangasem,1994,49
PT Harapan Sejahtera,logo_pt_harapan_sejahtera.jpg,"PT Harapan Sejahtera is a leading company in the Energy industry, providing high-quality products and services.",www.ptharapansejahtera.com,Energy,1508,Denpasar,2013,50
PT Indotech Global,logo_pt_indotech_global.jpg,"PT Indotech Global is a leading company in the Education industry, providing high-quality products and services.",www.ptindotechglobal.com,Manufacturing,403,Bangli,2007,51
PT Nusantara Teknologi,logo_pt_nusantara_teknologi.jpg,"PT Nusantara Teknologi is a leading company in the Energy industry, providing high-quality products and services.",www.ptnusantarateknologi.com,Construction,881,Badung,2008,52
PT Nusantara Teknologi,logo_pt_nusantara_teknologi.jpg,"PT Nusantara Teknologi is a leading company in the Healthcare industry, providing high-quality products and services.",www.ptnusantarateknologi.com,Education,1037,Bangli,1994,53
PT Sukses Makmur,logo_pt_sukses_makmur.jpg,"PT Sukses Makmur is a leading company in the Construction industry, providing high-quality products and services.",www.ptsuksesmakmur.com,Logistics,1412,Bangli,2003,54
PT Gemilang Bersama,logo_pt_gemilang_bersama.jpg,"PT Gemilang Bersama is a leading company in the Retail industry, providing high-quality products and services.",www.ptgemilangbersama.com,Construction,1808,Tabanan,2020,55
PT Harapan Sejahtera,logo_pt_harapan_sejahtera.jpg,"PT Harapan Sejahtera is a leading company in the Energy industry, providing high-quality products and services.",www.ptharapansejahtera.com,Technology,1761,Gianyar,2010,56
PT Nusantara Teknologi,logo_pt_nusantara_teknologi.jpg,"PT Nusantara Teknologi is a leading company in the Retail industry, providing high-quality products and services.",www.ptnusantarateknologi.com,Food & Beverage,588,Denpasar,2015,57
PT Sukses Makmur,logo_pt_sukses_makmur.jpg,"PT Sukses Makmur is a leading company in the Education industry, providing high-quality products and services.",www.ptsuksesmakmur.com,Food & Beverage,1483,Badung,2004,58
PT Cipta Karya Abadi,logo_pt_cipta_karya_abadi.jpg,"PT Cipta Karya Abadi is a leading company in the Manufacturing industry, providing high-quality products and services.",www.ptciptakaryaabadi.com,Food & Beverage,729,Gianyar,1992,59
PT Sukses Makmur,logo_pt_sukses_makmur.jpg,"PT Sukses Makmur is a leading company in the Construction industry, providing high-quality products and services.",www.ptsuksesmakmur.com,Technology,1091,Bangli,1994,60
PT Prima Industri,logo_pt_prima_industri.jpg,"PT Prima Industri is a leading company in the Healthcare industry, providing high-quality products and services.",www.ptprimaindustri.com,Energy,256,Denpasar,2014,61
PT Sinar Sukses,logo_pt_sinar_sukses.jpg,"PT Sinar Sukses is a leading company in the Construction industry, providing high-quality products and services.",www.ptsinarsukses.com,Manufacturing,1784,Jembrana,2010,62
PT Sukses Makmur,logo_pt_sukses_makmur.jpg,"PT Sukses Makmur is a leading company in the Logistics industry, providing high-quality products and services.",www.ptsuksesmakmur.com,Healthcare,796,Gianyar,2019,63
PT Harapan Sejahtera,logo_pt_harapan_sejahtera.jpg,"PT Harapan Sejahtera is a leading company in the Technology industry, providing high-quality products and services.",www.ptharapansejahtera.com,Retail,984,Gianyar,1993,64
PT Cipta Karya Abadi,logo_pt_cipta_karya_abadi.jpg,"PT Cipta Karya Abadi is a leading company in the Logistics industry, providing high-quality products and services.",www.ptciptakaryaabadi.com,Food & Beverage,808,Karangasem,2011,65
PT Prima Industri,logo_pt_prima_industri.jpg,"PT Prima Industri is a leading company in the Retail industry, providing high-quality products and services.",www.ptprimaindustri.com,Finance,1889,Jembrana,1994,66
PT Gemilang Bersama,logo_pt_gemilang_bersama.jpg,"PT Gemilang Bersama is a leading company in the Finance industry, providing high-quality products and services.",www.ptgemilangbersama.com,Energy,861,Tabanan,2005,67
PT Sukses Makmur,logo_pt_sukses_makmur.jpg,"PT Sukses Makmur is a leading company in the Construction industry, providing high-quality products and services.",www.ptsuksesmakmur.com,Education,1417,Badung,2020,68
PT Harapan Sejahtera,logo_pt_harapan_sejahtera.jpg,"PT Harapan Sejahtera is a leading company in the Healthcare industry, providing high-quality products and services.",www.ptharapansejahtera.com,Healthcare,644,Jembrana,2012,69
PT Prima Industri,logo_pt_prima_industri.jpg,"PT Prima Industri is a leading company in the Manufacturing industry, providing high-quality products and services.",www.ptprimaindustri.com,Technology,1466,Bangli,2009,70
PT Sukses Makmur,logo_pt_sukses_makmur.jpg,"PT Sukses Makmur is a leading company in the Technology industry, providing high-quality products and services.",www.ptsuksesmakmur.com,Finance,645,Denpasar,2004,71
PT Cipta Karya Abadi,logo_pt_cipta_karya_abadi.jpg,"PT Cipta Karya Abadi is a leading company in the Food & Beverage industry, providing high-quality products and services.",www.ptciptakaryaabadi.com,Technology,1648,Jembrana,1995,72
PT Jaya Mulya,logo_pt_jaya_mulya.jpg,"PT Jaya Mulya is a leading company in the Retail industry, providing high-quality products and services.",www.ptjayamulya.com,Logistics,1388,Gianyar,1990,73
PT Gemilang Bersama,logo_pt_gemilang_bersama.jpg,"PT Gemilang Bersama is a leading company in the Education industry, providing high-quality products and services.",www.ptgemilangbersama.com,Healthcare,652,Badung,1998,74
PT Gemilang Bersama,logo_pt_gemilang_bersama.jpg,"PT Gemilang Bersama is a leading company in the Healthcare industry, providing high-quality products and services.",www.ptgemilangbersama.com,Retail,1143,Denpasar,1991,75
PT Jaya Mulya,logo_pt_jaya_mulya.jpg,"PT Jaya Mulya is a leading company in the Technology industry, providing high-quality products and services.",www.ptjayamulya.com,Construction,85,Bangli,1996,76
PT Gemilang Bersama,logo_pt_gemilang_bersama.jpg,"PT Gemilang Bersama is a leading company in the Technology industry, providing high-quality products and services.",www.ptgemilangbersama.com,Logistics,1798,Tabanan,1996,77
PT Gemilang Bersama,logo_pt_gemilang_bersama.jpg,"PT Gemilang Bersama is a leading company in the Finance industry, providing high-quality products and services.",www.ptgemilangbersama.com,Logistics,281,Bangli,2012,78
PT Sinar Sukses,logo_pt_sinar_sukses.jpg,"PT Sinar Sukses is a leading company in the Education industry, providing high-quality products and services.",www.ptsinarsukses.com,Education,148,Tabanan,2006,79
PT Nusantara Teknologi,logo_pt_nusantara_teknologi.jpg,"PT Nusantara Teknologi is a leading company in the Education industry, providing high-quality products and services.",www.ptnusantarateknologi.com,Logistics,1955,Gianyar,1998,80
PT Cipta Karya Abadi,logo_pt_cipta_karya_abadi.jpg,"PT Cipta Karya Abadi is a leading company in the Energy industry, providing high-quality products and services.",www.ptciptakaryaabadi.com,Food & Beverage,350,Karangasem,2006,81
PT Prima Industri,logo_pt_prima_industri.jpg,"PT Prima Industri is a leading company in the Healthcare industry, providing high-quality products and services.",www.ptprimaindustri.com,Food & Beverage,1596,Klungkung,1990,82
PT Jaya Mulya,logo_pt_jaya_mulya.jpg,"PT Jaya Mulya is a leading company in the Education industry, providing high-quality products and services.",www.ptjayamulya.com,Technology,1785,Jembrana,1990,83
PT Indotech Global,logo_pt_indotech_global.jpg,"PT Indotech Global is a leading company in the Finance industry, providing high-quality products and services.",www.ptindotechglobal.com,Construction,743,Gianyar,1996,84
PT Nusantara Teknologi,logo_pt_nusantara_teknologi.jpg,"PT Nusantara Teknologi is a leading company in the Manufacturing industry, providing high-quality products and services.",www.ptnusantarateknologi.com,Healthcare,1851,Tabanan,2008,85
PT Sukses Makmur,logo_pt_sukses_makmur.jpg,"PT Sukses Makmur is a leading company in the Finance industry, providing high-quality products and services.",www.ptsuksesmakmur.com,Healthcare,200,Gianyar,2019,86
PT Sinar Sukses,logo_pt_sinar_sukses.jpg,"PT Sinar Sukses is a leading company in the Manufacturing industry, providing high-quality products and services.",www.ptsinarsukses.com,Manufacturing,1055,Denpasar,2010,87
PT Prima Industri,logo_pt_prima_industri.jpg,"PT Prima Industri is a leading company in the Food & Beverage industry, providing high-quality products and services.",www.ptprimaindustri.com,Construction,479,Badung,2004,88
PT Global Sumber Daya,logo_pt_global_sumber_daya.jpg,"PT Global Sumber Daya is a leading company in the Manufacturing industry, providing high-quality products and services.",www.ptglobalsumberdaya.com,Food & Beverage,598,Karangasem,2010,89
PT Sinar Sukses,logo_pt_sinar_sukses.jpg,"PT Sinar Sukses is a leading company in the Finance industry, providing high-quality products and services.",www.ptsinarsukses.com,Food & Beverage,1365,Badung,2003,90
PT Cipta Karya Abadi,logo_pt_cipta_karya_abadi.jpg,"PT Cipta Karya Abadi is a leading company in the Construction industry, providing high-quality products and services.",www.ptciptakaryaabadi.com,Finance,1093,Tabanan,2007,91
PT Cipta Karya Abadi,logo_pt_cipta_karya_abadi.jpg,"PT Cipta Karya Abadi is a leading company in the Retail industry, providing high-quality products and services.",www.ptciptakaryaabadi.com,Technology,1058,Karangasem,1997,92
PT Gemilang Bersama,logo_pt_gemilang_bersama.jpg,"PT Gemilang Bersama is a leading company in the Retail industry, providing high-quality products and services.",www.ptgemilangbersama.com,Education,681,Bangli,2006,93
PT Jaya Mulya,logo_pt_jaya_mulya.jpg,"PT Jaya Mulya is a leading company in the Education industry, providing high-quality products and services.",www.ptjayamulya.com,Healthcare,1944,Karangasem,1994,94
PT Cipta Karya Abadi,logo_pt_cipta_karya_abadi.jpg,"PT Cipta Karya Abadi is a leading company in the Energy industry, providing high-quality products and services.",www.ptciptakaryaabadi.com,Technology,1194,Klungkung,2018,95
PT Prima Industri,logo_pt_prima_industri.jpg,"PT Prima Industri is a leading company in the Finance industry, providing high-quality products and services.",www.ptprimaindustri.com,Construction,1852,Denpasar,2001,96
PT Nusantara Teknologi,logo_pt_nusantara_teknologi.jpg,"PT Nusantara Teknologi is a leading company in the Education industry, providing high-quality products and services.",www.ptnusantarateknologi.com,Logistics,1700,Badung,2017,97
PT Prima Industri,logo_pt_prima_industri.jpg,"PT Prima Industri is a leading company in the Healthcare industry, providing high-quality products and services.",www.ptprimaindustri.com,Construction,1701,Klungkung,1991,98
PT Cipta Karya Abadi,logo_pt_cipta_karya_abadi.jpg,"PT Cipta Karya Abadi is a leading company in the Finance industry, providing high-quality products and services.",www.ptciptakaryaabadi.com,Construction,1527,Buleleng,1998,99
PT Jaya Mulya,logo_pt_jaya_mulya.jpg,"PT Jaya Mulya is a leading company in the Food & Beverage industry, providing high-quality products and services.",www.ptjayamulya.com,Manufacturing,660,Klungkung,1997,100
