id_job_offer,position,industries,id_regency,job_type,summary,id_company
2,Marketing Manager,Healthcare,6,Full-Time,Responsible for the marketing manager in the healthcare industry.,13
6,QA Engineer,Healthcare,1,Internship,Responsible for the qa engineer in the healthcare industry.,39
7,Product Manager,Manufacturing,1,Full-Time,Responsible for the product manager in the manufacturing industry.,50
8,System Analyst,Healthcare,7,Part-Time,Responsible for the system analyst in the healthcare industry.,32
9,Front-end Developer,Finance,1,Full-Time,Responsible for the front-end developer in the finance industry.,22
10,Data Scientist,Finance,2,Full-Time,Responsible for the data scientist in the finance industry.,53
12,UI/UX Designer,Manufacturing,7,Full-Time,Responsible for the ui/ux designer in the manufacturing industry.,41
13,HR Specialist,Finance,4,Part-Time,Responsible for the hr specialist in the finance industry.,100
15,Software Engineer,Telecom,2,Internship,Responsible for the software engineer in the telecom industry.,51
16,Marketing Manager,Healthcare,3,Freelance,Responsible for the marketing manager in the healthcare industry.,52
17,Data Scientist,Finance,7,Freelance,Responsible for the data scientist in the finance industry.,32
18,Front-end Developer,Consulting,7,Full-Time,Responsible for the front-end developer in the consulting industry.,41
19,Product Manager,E-commerce,8,Part-Time,Responsible for the product manager in the e-commerce industry.,11
20,HR Specialist,Finance,8,Part-Time,Responsible for the hr specialist in the finance industry.,6
22,Data Scientist,Technology,8,Internship,Responsible for the data scientist in the technology industry.,99
23,Front-end Developer,E-commerce,4,Internship,Responsible for the front-end developer in the e-commerce industry.,82
24,Data Scientist,Education,7,Internship,Responsible for the data scientist in the education industry.,25
25,Backend Developer,Education,5,Internship,Responsible for the backend developer in the education industry.,63
28,Front-end Developer,Consulting,6,Freelance,Responsible for the front-end developer in the consulting industry.,62
30,UI/UX Designer,E-commerce,5,Freelance,Responsible for the ui/ux designer in the e-commerce industry.,14
31,Data Scientist,Media,5,Full-Time,Responsible for the data scientist in the media industry.,5
32,Software Engineer,Retail,8,Internship,Responsible for the software engineer in the retail industry.,11
33,Software Engineer,Technology,9,Freelance,Responsible for the software engineer in the technology industry.,55
34,Marketing Manager,Technology,3,Part-Time,Responsible for the marketing manager in the technology industry.,20
36,Product Manager,Retail,3,Full-Time,Responsible for the product manager in the retail industry.,20
38,Front-end Developer,E-commerce,1,Part-Time,Responsible for the front-end developer in the e-commerce industry.,8
44,Backend Developer,Retail,7,Internship,Responsible for the backend developer in the retail industry.,47
45,Front-end Developer,Healthcare,4,Part-Time,Responsible for the front-end developer in the healthcare industry.,26
46,HR Specialist,Education,4,Freelance,Responsible for the hr specialist in the education industry.,100
47,UI/UX Designer,Telecom,9,Part-Time,Responsible for the ui/ux designer in the telecom industry.,79
51,HR Specialist,Manufacturing,5,Internship,Responsible for the hr specialist in the manufacturing industry.,14
54,Front-end Developer,Retail,9,Internship,Responsible for the front-end developer in the retail industry.,85
55,Marketing Manager,Manufacturing,4,Freelance,Responsible for the marketing manager in the manufacturing industry.,26
56,System Analyst,Education,1,Part-Time,Responsible for the system analyst in the education industry.,21
58,System Analyst,Manufacturing,6,Internship,Responsible for the system analyst in the manufacturing industry.,62
65,HR Specialist,Education,4,Part-Time,Responsible for the hr specialist in the education industry.,36
66,Marketing Manager,Consulting,1,Internship,Responsible for the marketing manager in the consulting industry.,1
67,HR Specialist,Retail,4,Part-Time,Responsible for the hr specialist in the retail industry.,2
69,Marketing Manager,Technology,6,Part-Time,Responsible for the marketing manager in the technology industry.,62
70,HR Specialist,Telecom,4,Part-Time,Responsible for the hr specialist in the telecom industry.,95
73,Marketing Manager,Manufacturing,1,Full-Time,Responsible for the marketing manager in the manufacturing industry.,39
76,Data Scientist,Retail,6,Internship,Responsible for the data scientist in the retail industry.,27
77,HR Specialist,Retail,9,Freelance,Responsible for the hr specialist in the retail industry.,79
79,Marketing Manager,Technology,4,Internship,Responsible for the marketing manager in the technology industry.,26
81,QA Engineer,Manufacturing,9,Internship,Responsible for the qa engineer in the manufacturing industry.,79
84,HR Specialist,Manufacturing,2,Part-Time,Responsible for the hr specialist in the manufacturing industry.,51
85,Data Scientist,Media,7,Part-Time,Responsible for the data scientist in the media industry.,25
86,UI/UX Designer,Education,4,Part-Time,Responsible for the ui/ux designer in the education industry.,36
87,Backend Developer,Consulting,4,Freelance,Responsible for the backend developer in the consulting industry.,2
88,Front-end Developer,Education,7,Full-Time,Responsible for the front-end developer in the education industry.,47
89,System Analyst,Finance,8,Internship,Responsible for the system analyst in the finance industry.,9
91,Marketing Manager,Education,4,Part-Time,Responsible for the marketing manager in the education industry.,2
92,UI/UX Designer,Telecom,6,Part-Time,Responsible for the ui/ux designer in the telecom industry.,83
93,UI/UX Designer,E-commerce,4,Freelance,Responsible for the ui/ux designer in the e-commerce industry.,2
94,Data Scientist,Technology,2,Internship,Responsible for the data scientist in the technology industry.,30
95,Marketing Manager,Technology,2,Freelance,Responsible for the marketing manager in the technology industry.,53
96,UI/UX Designer,Retail,2,Full-Time,Responsible for the ui/ux designer in the retail industry.,10
97,UI/UX Designer,Finance,6,Part-Time,Responsible for the ui/ux designer in the finance industry.,13
98,Software Engineer,Technology,8,Internship,Responsible for the software engineer in the technology industry.,99
100,QA Engineer,Technology,3,Internship,Responsible for the qa engineer in the technology industry.,58
101,Data Scientist,Technology,3,Part-Time,Responsible for the data scientist in the technology industry.,19
102,System Analyst,Telecom,6,Full-Time,Responsible for the system analyst in the telecom industry.,13
105,Product Manager,Retail,4,Internship,Responsible for the product manager in the retail industry.,26
106,System Analyst,Technology,2,Part-Time,Responsible for the system analyst in the technology industry.,30
107,Product Manager,Consulting,7,Freelance,Responsible for the product manager in the consulting industry.,65
109,Front-end Developer,Manufacturing,7,Full-Time,Responsible for the front-end developer in the manufacturing industry.,32
111,Backend Developer,Media,8,Internship,Responsible for the backend developer in the media industry.,4
112,Software Engineer,Retail,9,Full-Time,Responsible for the software engineer in the retail industry.,29
115,HR Specialist,Consulting,1,Part-Time,Responsible for the hr specialist in the consulting industry.,22
117,Software Engineer,E-commerce,6,Internship,Responsible for the software engineer in the e-commerce industry.,83
118,Front-end Developer,E-commerce,2,Part-Time,Responsible for the front-end developer in the e-commerce industry.,53
119,Marketing Manager,Telecom,3,Internship,Responsible for the marketing manager in the telecom industry.,18
121,UI/UX Designer,Technology,3,Full-Time,Responsible for the ui/ux designer in the technology industry.,18
124,Data Scientist,Technology,3,Full-Time,Responsible for the data scientist in the technology industry.,58
125,HR Specialist,Technology,9,Part-Time,Responsible for the hr specialist in the technology industry.,35
126,HR Specialist,Education,5,Freelance,Responsible for the hr specialist in the education industry.,43
129,System Analyst,Manufacturing,8,Internship,Responsible for the system analyst in the manufacturing industry.,99
130,Backend Developer,Healthcare,2,Freelance,Responsible for the backend developer in the healthcare industry.,76
134,UI/UX Designer,Telecom,9,Internship,Responsible for the ui/ux designer in the telecom industry.,85
137,Marketing Manager,Education,2,Freelance,Responsible for the marketing manager in the education industry.,10
138,Product Manager,Finance,8,Full-Time,Responsible for the product manager in the finance industry.,9
140,Front-end Developer,Finance,7,Freelance,Responsible for the front-end developer in the finance industry.,41
141,QA Engineer,Media,4,Full-Time,Responsible for the qa engineer in the media industry.,82
142,Software Engineer,E-commerce,4,Part-Time,Responsible for the software engineer in the e-commerce industry.,2
143,Front-end Developer,Retail,9,Full-Time,Responsible for the front-end developer in the retail industry.,29
144,Marketing Manager,Media,3,Full-Time,Responsible for the marketing manager in the media industry.,19
145,System Analyst,Finance,8,Full-Time,Responsible for the system analyst in the finance industry.,99
146,UI/UX Designer,Manufacturing,9,Internship,Responsible for the ui/ux designer in the manufacturing industry.,85
147,Marketing Manager,Finance,7,Freelance,Responsible for the marketing manager in the finance industry.,49
149,UI/UX Designer,Media,2,Freelance,Responsible for the ui/ux designer in the media industry.,51
150,QA Engineer,Healthcare,6,Freelance,Responsible for the qa engineer in the healthcare industry.,62
151,Front-end Developer,Retail,1,Part-Time,Responsible for the front-end developer in the retail industry.,8
153,QA Engineer,Retail,1,Internship,Responsible for the qa engineer in the retail industry.,22
156,System Analyst,Manufacturing,9,Freelance,Responsible for the system analyst in the manufacturing industry.,7
157,Marketing Manager,Healthcare,9,Full-Time,Responsible for the marketing manager in the healthcare industry.,85
158,Product Manager,Technology,3,Full-Time,Responsible for the product manager in the technology industry.,20
160,UI/UX Designer,Telecom,5,Part-Time,Responsible for the ui/ux designer in the telecom industry.,5
161,Backend Developer,Manufacturing,7,Internship,Responsible for the backend developer in the manufacturing industry.,47
162,QA Engineer,Media,1,Freelance,Responsible for the qa engineer in the media industry.,21
163,HR Specialist,Consulting,2,Full-Time,Responsible for the hr specialist in the consulting industry.,10
165,HR Specialist,Education,8,Freelance,Responsible for the hr specialist in the education industry.,6
167,QA Engineer,Technology,6,Freelance,Responsible for the qa engineer in the technology industry.,27
168,Front-end Developer,Technology,5,Part-Time,Responsible for the front-end developer in the technology industry.,5
170,Data Scientist,Technology,6,Freelance,Responsible for the data scientist in the technology industry.,27
171,Software Engineer,E-commerce,9,Freelance,Responsible for the software engineer in the e-commerce industry.,7
172,Product Manager,Media,2,Full-Time,Responsible for the product manager in the media industry.,30
175,UI/UX Designer,Finance,7,Freelance,Responsible for the ui/ux designer in the finance industry.,47
176,Backend Developer,Healthcare,7,Full-Time,Responsible for the backend developer in the healthcare industry.,49
177,QA Engineer,Retail,5,Full-Time,Responsible for the qa engineer in the retail industry.,63
179,Front-end Developer,Retail,5,Full-Time,Responsible for the front-end developer in the retail industry.,16
181,Backend Developer,Media,8,Full-Time,Responsible for the backend developer in the media industry.,9
183,HR Specialist,E-commerce,3,Part-Time,Responsible for the hr specialist in the e-commerce industry.,20
186,HR Specialist,Retail,5,Freelance,Responsible for the hr specialist in the retail industry.,14
191,Front-end Developer,Retail,1,Full-Time,Responsible for the front-end developer in the retail industry.,3
193,Front-end Developer,Finance,1,Freelance,Responsible for the front-end developer in the finance industry.,50
196,HR Specialist,Telecom,7,Freelance,Responsible for the hr specialist in the telecom industry.,65
199,Front-end Developer,Manufacturing,2,Part-Time,Responsible for the front-end developer in the manufacturing industry.,78
